# theta  CCC  CCSi  SiCSi  SiNSi  CSiC  CSiN  CSiSi  NSiN  NSiSi  SiSiSi
0.5 0 0 0 0 0 0 0 0 0 0
1.5 0 0 0 0 0 0 0 0 0 0
2.5 0 0 0 0 0 0 0 0 0 0
3.5 0 0 0 0 0 0 0 0 0 0
4.5 0 0 0 0 0 0 0 0 0 0
5.5 0 0 0 0 0 0 0 0 0 0
6.5 0 0 0 0 0 0 0 0 0 0
7.5 0 0 0 0 0 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0
9.5 0 0 0 0 0 0 0 0 0 0
10.5 0 0 0 0 0 0 0 0 0 0
11.5 0 0 0 0 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0
16.5 0 0 0 0 0 0 0 0 0 0
17.5 0 0 0 0 0 0 0 0 0 0
18.5 0 0 0 0 0 0 0 0 0 0
19.5 0 0 0 0 0 0 0 0 0 0
20.5 0 0 0 0 0 0 0 0 0 0
21.5 0 0 0 0 0 0 0 0 0 0
22.5 0 0 0 0 0 0 0 0 0 0
23.5 0 0 0 0 0 0 0 0 0 0
24.5 0 0 0 0 0 0 0 0 0 0
25.5 0 0 0 0 0 0 0 0 0 0
26.5 0 0 0 0 0 0 0 0 0 0
27.5 0 0 0 0 0 0 0 0 0 0
28.5 0 0 0 0 0 0 0 0 0 0
29.5 0 0 0 0 0 0 0 0 0 0
30.5 0 0 0 0 0 0 0 0 0 0
31.5 0 0 0 0 0 0 0 0 0 0
32.5 0 0 0 0 0 0 0 0 0 0
33.5 0 0 0 0 0 0 0 0 0 0
34.5 0 0 0 0 0 0 0 0 0 0
35.5 0 0 0 0 0 0 0 0 0 0
36.5 0 0 0 0 0 0 0 0 0 0
37.5 0 0 0 0 0 0 0 0 0 0
38.5 0 0 0 0 0 0 0 0 0 0
39.5 0 0 0 0 0 0 0 0 0 0
40.5 0 0 0 0 0 0 0 0 0 0
41.5 0 0 0 0 0 0 0 0 0 0
42.5 0 0 0 0 0 0 0 0 0 0
43.5 0 0 0 0 0 0 0 0 0 0
44.5 0 0 0 0 0 0 0 0 0 0
45.5 0 0 0 0 0 0 0 0 0 0
46.5 0 0 0 0 0 0 0 0 0 0
47.5 0 0 0 0 0 0 0 0 0 0
48.5 0 0 0 0 0 0 0 0 0 0
49.5 0 0 0 0 0 0 0 0 0 0
50.5 0 0 0 0 0 0 0 0 0 0
51.5 0 0 0 0 0 0 0 0 0 4.02416e-05
52.5 0 0 0 0 0 0 0 0 0 3.7738e-05
53.5 0 0 0 0 0 0 0 0 0 9.74158e-05
54.5 0 0 0 0 0 0 0 0 0 0.000593299
55.5 0 0 0 0 0 0 0 0 0 0.00137601
56.5 0 0 0 0 0 0 0 0 0 0.00335495
57.5 0 0 0 0 0 0 0 0 0 0.00471239
58.5 0 0 0 0 0 0 0 0 0 0.00553232
59.5 0 0 0 0 0 0 0 0 0 0.00580182
60.5 0 0 0 0 0 0 0 0 0 0.00552641
61.5 0 0 0 0 0 0 0 0 0 0.00521921
62.5 0 0 0 0 0 0 0 0 0 0.00377609
63.5 0 0 0 0 0 8.06608e-05 4.59976e-05 0 6.58177e-05 0.00337761
64.5 0 0 0 0 0 0.000362488 0.000170501 0 0.000556943 0.00253713
65.5 0 0 0 0 0.000218167 0.000965986 0.000569274 0.000209059 0.00117265 0.00201721
66.5 0 0 0 0 0.000478288 0.00133625 0.000825665 0.000207607 0.0015028 0.000964134
67.5 0 0 0 0 0.00104468 0.0014344 0.00197075 0.00197009 0.001576 0.000631557
68.5 0 0 0 0 0.00126285 0.00172109 0.00190117 0.00501161 0.00230735 0.00140004
69.5 0 0 0 0 0.00183763 0.00137804 0.00201178 0.00687863 0.00311014 0.00284145
70.5 0 0 0 0 0.00161317 0.00185326 0.00252282 0.00640679 0.0042184 0.00485375
71.5 0 0 0 0 0.00257604 0.00173761 0.00256348 0.00567218 0.00548935 0.00804906
72.5 0 0 0 0 0.00213551 0.00165986 0.00296252 0.00446283 0.00587421 0.011462
73.5 0 0 0 0 0.00226977 0.00194363 0.0032833 0.00566638 0.006302 0.014041
74.5 0 0 0 0 0.00252989 0.00222157 0.00376759 0.0051989 0.00710051 0.0143743
75.5 0 0 0 0 0.00231173 0.00237707 0.00364 0.00541957 0.00722014 0.0149885
76.5 0 0 0 0 0.00299979 0.00287755 0.00401365 0.00465157 0.00775204 0.0145569
77.5 0 0 0 0 0.00388924 0.00318562 0.00413718 0.00557346 0.00842353 0.0124994
78.5 0 0 0 0 0.00405077 0.00314966 0.00531912 0.00594657 0.00862313 0.0125351
79.5 0 0 0 0 0.00436753 0.00390476 0.0060352 0.0056417 0.0103109 0.0107362
80.5 0 0 0 0 0.00610866 0.00488727 0.00784688 0.00618757 0.0122093 0.00999781
81.5 0 0 0 0 0.00492973 0.00532945 0.00879035 0.00809379 0.0126027 0.0102301
82.5 0 0 0 0 0.00575414 0.00572303 0.00947122 0.00794135 0.013546 0.00945957
83.5 0 0 0 0 0.00731697 0.0058173 0.0100955 0.00876887 0.0138863 0.00876818
84.5 0 0 0 0 0.00938326 0.006 0.0118632 0.00935976 0.0133232 0.0102354
85.5 0 0 0 0 0.012274 0.00708552 0.0120842 0.0101713 0.0135187 0.0107123
86.5 0 0 0 0 0.0140025 0.00901652 0.0119245 0.0113865 0.0133664 0.0119933
87.5 3.0525e-05 0 0 0 0.0139899 0.00846842 0.0128869 0.0142059 0.0141846 0.0124013
88.5 0 1.75439e-05 0 0 0.0147053 0.0105549 0.0138245 0.0147242 0.0165865 0.0128236
89.5 0 5.17962e-05 0 0 0.0137277 0.0120039 0.0144141 0.0150145 0.0170429 0.0134354
90.5 9.15751e-05 1.75439e-05 0 0 0.0133816 0.0128494 0.0158646 0.0176205 0.0176218 0.0137425
91.5 0.000315934 8.68839e-05 0 0 0.0120369 0.0154674 0.0175403 0.0188661 0.0184438 0.0152265
92.5 0.000285409 0.000468672 0 0 0.0123935 0.0174636 0.0179071 0.0190331 0.0195855 0.0159084
93.5 0.000285409 0.000605681 3.52734e-05 0 0.0132222 0.0175442 0.0184819 0.0212297 0.0209277 0.016869
94.5 0.000508242 0.00104428 0.000477954 0 0.0132075 0.0183061 0.0183461 0.0214852 0.0224786 0.0177976
95.5 0.000575397 0.00130242 0.000954145 0 0.0148626 0.0187328 0.0177171 0.0212776 0.0223903 0.0191229
96.5 0.00117216 0.00151211 0.00157496 0 0.0158318 0.0198882 0.0175031 0.0215491 0.022887 0.0175514
