# r  g_CC  g_CSi  g_NSi  g_SiSi
0.01 0 0 0 0
0.03 0 0 0 0
0.05 0 0 0 0
0.07 0 0 0 0
0.09 0 0 0 0
0.11 0 0 0 0
0.13 0 0 0 0
0.15 0 0 0 0
0.17 0 0 0 0
0.19 0 0 0 0
0.21 0 0 0 0
0.23 0 0 0 0
0.25 0 0 0 0
0.27 0 0 0 0
0.29 0 0 0 0
0.31 0 0 0 0
0.33 0 0 0 0
0.35 0 0 0 0
0.37 0 0 0 0
0.39 0 0 0 0
0.41 0 0 0 0
0.43 0 0 0 0
0.45 0 0 0 0
0.47 0 0 0 0
0.49 0 0 0 0
0.51 0 0 0 0
0.53 0 0 0 0
0.55 0 0 0 0
0.57 0 0 0 0
0.59 0 0 0 0
0.61 0 0 0 0
0.63 0 0 0 0
0.65 0 0 0 0
0.67 0 0 0 0
0.69 0 0 0 0
0.71 0 0 0 0
0.73 0 0 0 0
0.75 0 0 0 0
0.77 0 0 0 0
0.79 0 0 0 0
0.81 0 0 0 0
0.83 0 0 0 0
0.85 0 0 0 0
0.87 0 0 0 0
0.89 0 0 0 0
0.91 0 0 0 0
0.93 0 0 0 0
0.95 0 0 0 0
0.97 0 0 0 0
0.99 0 0 0 0
1.01 0 0 0 0
1.03 0 0 0 0
1.05 0 0 0 0
1.07 0 0 0 0
1.09 0 0 0 0
1.11 0 0 0 0
1.13 0 0 0 0
1.15 0 0 0 0
1.17 0 0 0 0
1.19 0 0 0 0
1.21 0 0 0 0
1.23 0 0 0 0
1.25 0 0 0 0
1.27 0 0 0 0
1.29 0 0 0 0
1.31 0 0 0 0
1.33 0 0 0 0
1.35 0.0227725 0 0 0
1.37 0.316264 0 0 0
1.39 1.86657 0 0 0
1.41 6.4757 0 0 0
1.43 14.0434 0 0 0
1.45 19.2682 0 0 0
1.47 19.5089 0 0 0
1.49 15.982 0 0 0
1.51 11.2651 0 0 0
1.53 7.7328 0 0 0
1.55 5.02321 0 0 0
1.57 2.63712 0 0 0
1.59 1.32084 0 0.00592966 0
1.61 0.52805 0 0.0174789 0
1.63 0.185811 0 0.0703078 0
1.65 0.0419776 0 0.206874 0
1.67 0.00879095 0.00554037 1.08167 0
1.69 0.00581857 0.02489 4.05869 0
1.71 0 0.201792 10.9708 0
1.73 0 0.677291 18.1003 0
1.75 0 1.59992 20.9069 0
1.77 0 2.85513 17.9168 0
1.79 0 4.22972 12.4349 0
1.81 0 5.18958 7.42188 0
1.83 0 5.50625 4.13589 0
1.85 0 5.35056 2.14559 0
1.87 0 4.74993 1.18608 0
1.89 0 3.97241 0.630176 0
1.91 0 3.07491 0.311107 0
1.93 0 2.31474 0.171323 0
1.95 0 1.70548 0.100492 0
1.97 0 1.20044 0.0570582 0
1.99 0 0.921322 0.0329477 0
2.01 0 0.611389 0.0100686 0
2.03 0 0.407631 0.00475429 0
2.05 0 0.285938 0.00357293 0
2.07 0 0.2026 0.00118692 0
2.09 0.00560143 0.125119 0 0
2.11 0.0275335 0.0938413 0 0
2.13 0.0309504 0.0604962 0 0
2.15 0.0178775 0.0500217 0 0.00509291
2.17 0.0277962 0.0216409 0 0.0367231
2.19 0.0187177 0.0122991 0 0.0658567
2.21 0.0184689 0.00808888 0 0.165276
2.23 0.0280714 0.00185328 0 0.311623
2.25 0.0695823 0.000614425 0 0.555701
2.27 0.0882381 0 0 0.834945
2.29 0.142736 0 0 1.23587
2.31 0.186375 0 0 1.52065
2.33 0.309942 0 0 1.7679
2.35 0.503047 0 0 1.97659
2.37 0.6635 0 0 2.06368
2.39 1.0024 0 0 2.10535
2.41 1.39832 0 0 2.06457
2.43 1.92797 0 0 1.96096
2.45 2.5816 0 0 1.75955
2.47 3.26295 0 0.00162379 1.75084
2.49 4.14487 0.0129607 0.134074 1.6358
2.51 4.79433 0.122531 0.417633 1.45913
2.53 4.98377 0.147661 0.357627 1.32998
2.55 4.73081 0.143882 0.326677 1.16324
2.57 4.18904 0.131649 0.316281 0.998679
2.59 3.52364 0.155893 0.3402 0.85131
2.61 2.85646 0.167166 0.290586 0.686069
2.63 2.20893 0.209846 0.332167 0.593814
2.65 1.56934 0.24533 0.338754 0.54399
2.67 1.12481 0.369654 0.363819 0.481773
2.69 0.922805 0.49913 0.374374 0.424901
2.71 0.739082 0.655177 0.387605 0.319261
2.73 0.717934 0.885537 0.42402 0.150506
2.75 0.68464 1.15272 0.460447 0.0543318
2.77 0.705575 1.44819 0.501119 0.0163652
2.79 0.743126 1.69173 0.525269 0.00417776
2.81 0.778501 1.94335 0.560263 0.00238496
2.83 0.884694 2.05295 0.605319 0.00117602
2.85 0.960642 2.09964 0.659456 0
2.87 1.08823 2.104 0.683555 0.000573114
2.89 1.17769 1.97121 0.748396 0.0050191
2.91 1.32956 1.77581 0.785785 0.0137975
2.93 1.46425 1.6052 0.786789 0.0934649
2.95 1.47432 1.37263 0.815818 0.631943
2.97 1.46567 1.20296 0.876577 3.01843
2.99 1.45003 1.04229 0.933676 6.5623
3.01 1.48123 0.92452 0.991964 6.1018
3.03 1.37477 0.814337 0.989899 5.01016
3.05 1.35776 0.76882 1.09488 4.24674
3.07 1.32008 0.76253 1.14292 3.64052
3.09 1.29209 0.711626 1.196 3.16877
3.11 1.36349 0.744389 1.26703 2.67484
3.13 1.36738 0.724256 1.31792 2.43939
3.15 1.37509 0.738544 1.34415 2.10201
3.17 1.37055 0.713669 1.39016 1.83665
3.19 1.37518 0.760762 1.39871 1.63596
3.21 1.425 0.750115 1.36255 1.38571
3.23 1.37336 0.794436 1.38626 1.22713
3.25 1.32572 0.816311 1.33353 1.07591
3.27 1.35857 0.863762 1.30927 0.94847
3.29 1.26003 0.886305 1.32979 0.832382
3.31 1.24369 0.972714 1.32209 0.754161
3.33 1.32226 0.94828 1.33267 0.71784
3.35 1.27924 0.969598 1.3363 0.669713
3.37 1.25262 0.990644 1.36249 0.644483
3.39 1.19969 1.01302 1.37371 0.609859
3.41 1.21269 1.01741 1.35585 0.615145
3.43 1.28079 1.04928 1.44124 0.608892
3.45 1.212 1.07095 1.45027 0.657181
3.47 1.28603 1.07187 1.46462 0.657086
3.49 1.22458 1.05074 1.43752 0.666072
3.51 1.27194 1.10343 1.43167 0.668135
3.53 1.23219 1.07892 1.37417 0.700406
3.55 1.27996 1.03332 1.35416 0.73236
3.57 1.31559 1.06561 1.31397 0.750033
3.59 1.31472 1.03313 1.26189 0.753937
3.61 1.39098 1.02504 1.2184 0.787558
3.63 1.4362 1.03574 1.21997 0.793489
3.65 1.3785 1.03568 1.1251 0.769075
3.67 1.42561 1.00232 1.13088 0.775756
3.69 1.39653 0.998188 1.11922 0.780154
3.71 1.41863 0.985245 1.10201 0.801978
3.73 1.40769 1.00035 1.08594 0.833748
3.75 1.34714 0.99367 1.06714 0.809575
3.77 1.31943 1.01129 1.0751 0.81086
3.79 1.3472 0.992566 1.02545 0.801014
3.81 1.32681 0.998559 1.03361 0.807453
3.83 1.29519 1.02131 1.04746 0.833544
3.85 1.34602 1.02214 1.02685 0.840764
3.87 1.31114 0.990048 1.03392 0.858838
3.89 1.26655 0.998677 1.04911 0.853505
3.91 1.28162 0.961099 1.00993 0.870365
3.93 1.24902 0.973076 1.01626 0.873354
3.95 1.16906 0.957332 1.01804 0.886539
3.97 1.13154 0.958276 1.07425 0.864644
3.99 1.11123 0.976858 1.06119 0.9197
4.01 1.03847 0.996297 1.07381 0.944424
4.03 0.993489 0.999121 1.07706 0.935884
4.05 0.946848 1.00528 1.06216 0.981132
4.07 0.891327 1.00372 1.04614 0.994652
4.09 0.956685 1.04596 0.998013 0.9896
4.11 0.966833 1.04527 1.02559 1.00108
4.13 0.971184 1.07266 1.02774 0.96411
4.15 1.00238 1.1179 1.02207 0.964152
4.17 1.07073 1.12222 1.0688 0.909145
4.19 1.13569 1.14317 1.03735 0.927525
4.21 1.13503 1.13353 1.06901 0.906188
4.23 1.18214 1.10926 1.08235 0.926622
4.25 1.15202 1.06929 1.06686 0.902325
4.27 1.17436 1.06141 1.10951 0.902068
4.29 1.11353 1.02943 1.14711 0.908734
4.31 1.098 0.975519 1.0924 0.891393
4.33 1.09755 0.970826 1.0804 0.91045
4.35 1.06372 0.96055 1.07166 0.893393
4.37 1.04659 0.93802 1.04295 0.909491
4.39 1.06566 0.960429 1.02533 0.93638
4.41 1.07594 0.960271 1.01355 1.01299
4.43 1.12462 0.969015 1.0436 1.01595
4.45 1.10072 0.978501 1.05447 1.04257
4.47 1.14483 0.975268 1.04394 1.05617
4.49 1.11078 0.968979 1.08632 1.03818
4.51 1.12414 0.994236 1.10273 1.0309
4.53 1.16648 0.977162 1.10077 1.02121
4.55 1.23959 0.962331 1.08063 1.00589
4.57 1.26952 0.945786 1.06958 0.988806
4.59 1.28095 0.9224 1.03391 0.991899
4.61 1.27571 0.906691 1.09147 0.971959
4.63 1.26764 0.873677 1.06061 0.974316
4.65 1.23591 0.945955 1.04658 0.955793
4.67 1.18663 0.955855 1.02932 0.995988
4.69 1.12702 0.961798 1.02882 0.988934
4.71 1.13685 0.999375 1.01373 0.992917
4.73 1.08504 1.02456 0.987946 0.995074
4.75 1.13406 1.04248 0.966933 0.995088
4.77 1.10858 1.0149 0.972961 0.992156
4.79 1.12045 0.987155 0.910287 1.00708
4.81 1.11284 0.955346 0.879039 1.01561
4.83 1.10907 0.926114 0.830335 1.00576
4.85 1.11875 0.908444 0.798457 1.01382
4.87 1.08715 0.922641 0.794503 0.994969
4.89 1.08817 0.920038 0.766303 1.01218
4.91 1.00784 0.892152 0.773668 1.01086
4.93 0.985096 0.90093 0.78495 0.967963
4.95 1.02291 0.907524 0.79399 1.00074
4.97 0.977756 0.922606 0.803356 1.03545
4.99 0.953101 0.907084 0.825136 1.02361
5.01 0.96558 0.914704 0.803957 0.975788
5.03 0.957227 0.895668 0.808667 1.001
5.05 0.971997 0.901962 0.821488 1.01782
5.07 1.02037 0.891476 0.86603 0.996024
5.09 0.999301 0.89867 0.856293 0.997719
5.11 1.00987 0.905117 0.92054 1.00696
5.13 1.0577 0.87768 0.931932 1.01534
5.15 1.02672 0.873261 0.929195 1.02317
5.17 1.07254 0.865778 0.93006 1.00305
5.19 1.02851 0.914738 0.92835 1.00947
5.21 0.999502 0.915399 0.985968 1.02632
5.23 0.988165 0.934632 0.976226 1.05145
5.25 1.01529 0.90678 0.96618 1.05144
5.27 0.993241 0.950904 1.01123 1.06899
5.29 0.967482 0.978611 0.95711 1.04958
5.31 1.00565 0.958259 0.991072 1.07349
5.33 1.03778 0.984732 0.978481 1.08988
5.35 1.08945 0.981941 0.96764 1.08862
5.37 1.06605 0.968006 0.980374 1.11009
5.39 1.08158 0.971563 0.972569 1.08795
5.41 1.06799 0.955933 1.00665 1.07092
5.43 1.06996 0.973145 1.03479 1.08656
5.45 1.06666 0.972407 1.00137 1.03232
5.47 1.03743 0.979793 1.01682 1.00185
5.49 1.07324 1.0032 1.04983 1.00199
5.51 1.07324 1.00007 1.03382 0.99956
5.53 1.06218 0.997418 1.02717 0.96963
5.55 1.09257 1.00069 1.03197 0.956071
5.57 1.10047 1.01088 1.0259 0.960935
5.59 1.08737 1.0145 1.03275 0.956172
5.61 1.09911 0.994935 1.01717 0.976621
5.63 1.08137 1.01729 1.01486 0.964491
5.65 1.09713 1.02208 1.03227 0.966012
5.67 1.10625 1.03262 1.03739 0.968505
5.69 1.0842 1.00055 1.05376 0.998423
5.71 1.08109 1.03996 1.0871 0.970976
5.73 1.03491 1.02024 1.10793 0.986955
5.75 1.04217 1.02827 1.1101 0.954713
5.77 1.0297 1.03595 1.11805 0.973735
5.79 1.02478 1.01164 1.11701 0.97621
5.81 0.969666 1.02483 1.08878 0.977227
5.83 0.999192 1.0266 1.08881 0.978975
5.85 1 1.02931 1.05357 0.9871
5.87 1.03155 1.0237 1.02971 1.00813
5.89 1.05941 1.03026 1.03149 0.99996
5.91 1.03941 1.02645 1.02383 1.01257
5.93 1.06243 1.03211 0.99575 1.01396
5.95 1.08564 1.03201 1.01297 1.02463
5.97 1.10654 1.02562 1.00996 1.04195
5.99 1.08465 1.02473 1.03349 1.02008
6.01 1.08667 1.02836 1.01389 1.04939
6.03 1.07497 1.0265 1.00906 1.03652
6.05 1.03645 0.995082 0.984666 1.04277
6.07 1.03367 1.00514 1.01133 1.04757
6.09 1.03671 0.990784 1.01904 1.03474
6.11 1.00921 0.984523 1.03374 1.01823
6.13 0.994112 0.992754 1.01055 1.03012
6.15 0.987927 0.977699 1.06553 1.03563
6.17 0.991889 0.98466 1.06594 1.03436
6.19 0.996771 1.01243 1.0569 1.04393
6.21 0.972621 1.0038 1.0817 1.05135
6.23 0.972478 1.0241 1.08813 1.02346
6.25 0.939252 1.03007 1.07548 1.04007
6.27 0.948215 1.0022 1.10393 1.01997
6.29 0.97805 1.01275 1.07261 1.01377
6.31 0.967693 1.00197 1.08211 1.00348
6.33 0.995503 1.00034 1.05609 0.98721
6.35 0.967896 0.996691 1.04012 0.996622
6.37 1.01424 0.994922 1.01104 0.983682
6.39 0.990849 1.00005 0.994726 0.975315
6.41 0.965905 0.998112 0.999425 0.946922
6.43 0.94572 0.986199 0.964805 0.961221
6.45 0.954112 0.996687 0.974139 0.988773
6.47 0.94967 0.995997 0.970951 0.975232
6.49 0.957372 0.979541 0.958805 0.985535
6.51 0.999885 0.995448 0.951848 1.00015
6.53 1.00025 1.00088 0.971187 1.00164
6.55 1.05129 0.986859 0.964232 1.02125
6.57 1.06374 1.02298 0.960425 1.03078
6.59 1.06183 1.00731 0.943931 1.02589
6.61 1.06823 0.997816 0.968635 1.01719
6.63 1.08499 1.02512 0.94447 1.02875
6.65 1.0848 1.02797 0.944096 0.997926
6.67 1.0601 1.01632 0.956285 1.00798
6.69 1.05646 1.02226 0.959946 0.99989
6.71 1.04669 1.02251 0.970419 0.999889
6.73 1.01901 1.00546 0.96804 1.00804
6.75 1.00954 1.00307 0.971131 1.00144
6.77 0.983918 1.0209 0.980215 1.00668
6.79 1.00254 0.992779 0.971671 1.01196
6.81 0.990266 0.98466 0.961309 1.00384
6.83 1.00474 0.973894 0.98102 1.01159
6.85 0.997579 0.996805 0.992084 1.00176
6.87 1.01793 0.96661 0.976233 0.988743
6.89 1.03581 0.950406 0.961553 1.00484
6.91 1.04497 0.96646 0.96165 1.012
6.93 1.06167 0.956116 0.971428 1.02925
6.95 1.11023 0.981108 0.97485 1.00931
6.97 1.12989 0.97169 0.950239 1.02778
6.99 1.08432 1.00133 0.954922 1.01401
7.01 1.11175 0.990003 0.985254 1.00207
7.03 1.09539 1.0286 0.999563 1.01535
7.05 1.08563 1.02368 0.983035 1.00983
7.07 1.07303 1.02108 0.998935 1.01779
7.09 1.03792 1.02936 1.03277 1.02613
7.11 1.03594 1.02686 1.0407 1.03124
7.13 1.05288 1.02298 1.04522 1.01162
7.15 1.01556 1.02822 1.0494 1.02309
7.17 1.01379 1.01966 1.02984 1.00645
7.19 0.979688 1.02751 1.01574 1.01269
7.21 1.01021 1.02842 1.0326 1.01479
7.23 1.03586 1.0175 1.0231 1.02026
7.25 1.03444 1.00607 1.00058 0.990239
7.27 1.04912 0.996801 1.00854 1.01087
7.29 1.02873 1.00363 1.01 1.03591
7.31 1.04825 0.985273 0.995964 1.05016
7.33 1.0352 0.990592 0.988166 1.04548
7.35 1.03719 0.99594 0.980059 1.04768
7.37 1.06441 0.976146 0.975861 1.04238
7.39 1.0158 0.96506 0.96878 1.03256
7.41 1.04123 0.974724 0.98134 1.03181
7.43 1.026 0.97565 0.954975 1.01521
7.45 1.00602 0.979467 0.970255 0.986307
7.47 0.99249 0.976898 0.970833 0.987175
7.49 0.979349 0.97368 0.98245 0.977
7.51 0.956033 0.976307 0.981614 0.990348
7.53 0.932773 0.966421 0.968449 0.965222
7.55 0.930201 0.960677 0.99032 0.949811
7.57 0.926992 0.96447 0.998884 0.950106
7.59 0.904497 0.947218 0.993201 0.954981
7.61 0.928897 0.961454 1.00345 0.950086
7.63 0.977049 0.970344 1.00261 0.973355
7.65 0.963023 0.959841 1.00615 0.980957
7.67 1.01529 0.972812 1.00645 0.983894
7.69 0.999818 0.97645 1.00522 0.980909
7.71 1.0061 0.976281 1.03271 1.00675
7.73 1.00718 0.993156 1.02708 0.993591
7.75 1.04675 0.992737 1.03402 0.997866
7.77 1.03442 1.00387 1.01302 0.98401
7.79 1.04985 1.00088 1.00693 0.99182
7.81 1.01913 1.00847 1.00159 0.979911
7.83 1.00676 1.00909 1.00805 0.984863
7.85 1.00575 1.01729 0.988618 0.980821
7.87 1.01849 1.0279 0.988578 0.977632
7.89 1.00476 1.01374 0.969398 0.967944
7.91 1.01153 1.02089 0.982151 0.975655
7.93 0.993423 1.03885 0.965069 0.985689
7.95 0.987721 1.04795 0.949134 0.983021
7.97 0.982904 1.04656 0.947272 0.982852
7.99 0.95741 1.07225 0.954823 0.985713
