# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0.0192234
1.33 0 0.0371209 0.102509
1.35 0.0267772 0.188856 0.516264
1.37 0.32097 1.05771 1.9431
1.39 1.95507 3.40562 4.0994
1.41 6.10943 7.64275 7.41951
1.43 13.9419 12.8791 12.0962
1.45 19.7779 15.8129 14.4482
1.47 19.5835 16.8909 14.7981
1.49 15.4893 15.1171 14.2777
1.51 11.6039 12.4727 11.6304
1.53 7.7693 8.53191 9.09973
1.55 4.92683 5.47852 6.35372
1.57 2.58317 3.48874 4.06398
1.59 1.34587 1.90861 2.74872
1.61 0.540157 1.00027 1.48976
1.63 0.177819 0.413944 0.819759
1.65 0.041889 0.223114 0.485039
1.67 0.0175147 0.0941398 0.159848
1.69 0.00569251 0.0229874 0.109795
1.71 0 0.0168414 0.0733286
1.73 0 0 0.0331198
1.75 0 0.00537973 0.00539224
1.77 0 0 0.0105488
1.79 0 0 0
1.81 0 0 0
1.83 0 0 0
1.85 0 0 0
1.87 0 0 0
1.89 0 0 0
1.91 0 0 0
1.93 0 0 0
1.95 0 0 0
1.97 0 0 0
1.99 0 0 0
2.01 0 0 0
2.03 0 0 0
2.05 0 0 0
2.07 0 0 0
2.09 0.00372312 0.011268 0.00754431
2.11 0.0256034 0.0110568 0.0185578
2.13 0.0287166 0.0217068 0.0327344
2.15 0.0035259 0.0284357 0.0285414
2.17 0.0276531 0.0243857 0.0490135
