# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0
1.33 0 0 0
1.35 0 0 0
1.37 0 0 0
1.39 0 0 0
1.41 0 0 0
1.43 0 0 0
1.45 0 0 0
1.47 0 0 0
1.49 0 0 0
1.51 0 0 0
1.53 0 0 0
1.55 0 0 0
1.57 0 0 0
1.59 0 0 0
1.61 0 0 0
1.63 0 0 0.00699974
1.65 0 0.0113259 0.0295645
1.67 0.00657653 0.0375751 0.0999846
1.69 0.0171122 0.181151 0.23428
1.71 0.198603 0.448943 0.639994
1.73 0.672123 0.9409 1.24436
1.75 1.59935 1.86748 1.89388
1.77 2.9023 2.75007 2.80879
1.79 4.12032 3.85647 3.51028
1.81 5.24321 4.70857 4.3395
1.83 5.46121 5.06477 4.44116
1.85 5.35445 4.88007 4.54511
1.87 4.79821 4.56989 4.15747
1.89 3.9869 3.74241 3.71089
1.91 3.10444 3.1036 3.0697
1.93 2.32949 2.4506 2.54236
1.95 1.68846 1.92558 2.0436
1.97 1.17701 1.44515 1.70367
1.99 0.901797 1.00528 1.24879
2.01 0.612987 0.82071 0.842278
2.03 0.424402 0.546012 0.636047
2.05 0.295373 0.372468 0.495447
2.07 0.209801 0.286237 0.368798
2.09 0.134399 0.194742 0.263885
2.11 0.0810134 0.13981 0.18519
2.13 0.056608 0.0733468 0.131177
2.15 0.043652 0.0573262 0.091185
2.17 0.0194725 0.0353393 0.0882109
