# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0
1.33 0 0 0
1.35 0 0 0
1.37 0 0 0
1.39 0 0 0
1.41 0 0 0
1.43 0 0 0
1.45 0 0 0
1.47 0 0 0
1.49 0 0 0
1.51 0 0 0
1.53 0 0 0
1.55 0 0 0.0168327
1.57 0 0.0163173 0.0122989
1.59 0.00393846 0.0119208 0.0319395
1.61 0.0115324 0.0387499 0.109057
1.63 0.0787732 0.173813 0.494033
1.65 0.212295 0.819093 1.4545
1.67 1.05423 2.4527 3.20157
1.69 4.08627 5.49676 6.06494
1.71 10.8826 9.89299 9.20099
1.73 18.3104 14.7231 12.4093
1.75 21.0318 16.3956 13.7
1.77 17.7248 15.3414 13.2341
1.79 12.2395 12.4273 12.0317
1.81 7.56569 8.8581 9.49586
1.83 4.13965 6.10108 6.789
1.85 2.10528 3.72479 4.87224
1.87 1.19697 2.26363 3.32428
1.89 0.627759 1.38632 2.11506
1.91 0.341485 0.790054 1.31505
1.93 0.157869 0.444902 0.848954
1.95 0.104812 0.272139 0.443555
1.97 0.051335 0.178585 0.338266
1.99 0.0327188 0.0887771 0.173452
2.01 0.012336 0.0547123 0.10998
2.03 0.00241862 0.0268343 0.0784708
2.05 0.00474456 0.0119408 0.0648317
2.07 0 0.00937876 0.0258951
2.09 0 0.00688839 0.0161609
2.11 0 0 0.00908642
2.13 0 0.00221472 0.00444382
