# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0.00221816
1.33 0 0.00428332 0.0118283
1.35 0.00308978 0.0217918 0.0595708
1.37 0.0370362 0.122047 0.224211
1.39 0.225592 0.392968 0.473023
1.41 0.704957 0.881884 0.856124
1.43 1.60874 1.48609 1.39576
1.45 2.28214 1.82462 1.66715
1.47 2.25971 1.94902 1.70753
1.49 1.78729 1.74434 1.64748
1.51 1.33895 1.4392 1.34201
1.53 0.896487 0.984482 1.05
1.55 0.568499 0.632158 0.736319
1.57 0.298068 0.405636 0.471255
1.59 0.15604 0.222479 0.323192
1.61 0.0645018 0.122724 0.192461
1.63 0.0353684 0.0805312 0.189875
1.65 0.0448547 0.183638 0.33925
1.67 0.202783 0.484783 0.652715
1.69 0.776247 1.09454 1.228
1.71 2.11258 2.00488 1.93964
1.73 3.65833 3.06465 2.72551
1.75 4.45626 3.66526 3.16521
1.77 4.23316 3.73707 3.35908
1.79 3.57332 3.52766 3.34671
1.81 3.03722 3.1166 3.12343
1.83 2.45834 2.7063 2.64438
1.85 2.04202 2.20158 2.31497
1.87 1.69989 1.83082 1.90406
1.89 1.34331 1.41119 1.53889
1.91 1.01821 1.10251 1.19107
1.93 0.745491 0.836812 0.941174
1.95 0.538534 0.642932 0.711509
1.97 0.371311 0.477686 0.587215
1.99 0.283243 0.325605 0.416386
2.01 0.190664 0.262475 0.279521
