# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0
1.33 0 0.109089 0.0728702
1.35 0.0350371 0.281743 0.355189
1.37 0.272299 1.09697 1.86264
1.39 1.9835 3.39472 3.78632
1.41 6.2024 7.70267 7.87963
1.43 13.746 13.6218 12.348
1.45 20.1128 14.9311 14.5624
1.47 19.1283 16.6432 14.0462
1.49 16.0275 15.1281 14.3163
1.51 11.7957 12.9796 11.2428
1.53 7.31394 8.43767 9.20732
1.55 4.81244 5.00746 6.57514
1.57 2.30659 3.86317 4.01969
1.59 1.5161 1.80745 2.843
1.61 0.690087 0.992658 1.49827
1.63 0.264749 0.411976 1.09613
1.65 0.0234934 0.212741 0.476151
1.67 0 0.0231838 0.209193
1.69 0 0.0225373 0.113493
1.71 0 0.0220258 0.132825
1.73 0 0 0.0217114
1.75 0 0 0
1.77 0 0 0
1.79 0 0 0
1.81 0 0 0
1.83 0 0 0
1.85 0 0 0
1.87 0 0 0
1.89 0 0 0
1.91 0 0 0
1.93 0 0 0
1.95 0 0 0
1.97 0 0 0
1.99 0 0 0
2.01 0 0 0
2.03 0 0 0
2.05 0 0 0
2.07 0 0 0
2.09 0 0.0147109 0
2.11 0.0286874 0.0144604 0.0291572
2.13 0.0141046 0.0283069 0
2.15 0 0.0139433 0.0139621
2.17 0.0271055 0.0274208 0.0823784
2.19 0.0399372 0.0403235 0.0405752
