# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0
1.33 0 0 0
1.35 0 0 0
1.37 0 0 0
1.39 0 0 0
1.41 0 0 0
1.43 0 0 0
1.45 0 0 0
1.47 0 0 0
1.49 0 0 0
1.51 0 0 0
1.53 0 0 0
1.55 0 0 0
1.57 0 0 0
1.59 0 0 0
1.61 0 0 0
1.63 0 0 0
1.65 0 0 0
1.67 0 0 0
1.69 0 0 0
1.71 0 0 0
1.73 0 0 0
1.75 0 0 0
1.77 0 0 0
1.79 0 0 0
1.81 0 0 0
1.83 0 0 0
1.85 0 0 0
1.87 0 0 0
1.89 0 0 0
1.91 0 0 0
1.93 0 0 0
1.95 0 0 0
1.97 0 0 0
1.99 0 0 0
2.01 0 0 0
2.03 0 0 0
2.05 0 0 0
2.07 0 0 0.0122578
2.09 0.136587 0.0777811 0.0601468
2.11 0.233178 0.176225 0.165442
2.13 0.142947 0.149772 0.109989
2.15 0.129182 0.11311 0.108112
2.17 0.093724 0.177574 0.117252
2.19 0.10278 0.119947 0.0878018
2.21 0.101005 0.155152 0.134554
2.23 0.104392 0.126142 0.142832
2.25 0.143468 0.180699 0.171442
2.27 0.151053 0.147156 0.152992
2.29 0.212738 0.199385 0.205666
2.31 0.179955 0.161626 0.256262
2.33 0.143361 0.216693 0.227683
2.35 0.183277 0.222606 0.261876
2.37 0.235537 0.27923 0.322975
2.39 0.268049 0.274466 0.303851
