# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0
1.33 0 0 0
1.35 0 0 0
1.37 0 0 0
1.39 0 0 0
1.41 0 0 0
1.43 0 0 0
1.45 0 0 0
1.47 0 0 0
1.49 0 0 0
1.51 0 0 0
1.53 0 0 0
1.55 0 0 0
1.57 0 0 0
1.59 0 0 0
1.61 0 0 0
1.63 0 0 0.00456581
1.65 0 0.0133161 0.0267353
1.67 0 0.0173191 0.113252
1.69 0.0083857 0.202947 0.238232
1.71 0.213211 0.388289 0.714934
1.73 0.665215 1.01305 1.33186
1.75 1.64117 1.82273 1.84904
1.77 2.94023 2.80768 2.78913
1.79 4.18899 4.0159 3.50074
1.81 5.0526 4.69104 4.41134
1.83 5.42232 5.01173 4.40571
1.85 5.31991 4.78329 4.63115
1.87 4.89463 4.62965 4.0385
1.89 3.95207 3.75126 3.60325
1.91 3.06453 3.08665 3.03809
1.93 2.36363 2.40721 2.52904
1.95 1.67805 1.87774 2.10926
1.97 1.19918 1.4881 1.69727
1.99 0.896639 1.0372 1.27978
2.01 0.638306 0.819417 0.872621
2.03 0.471513 0.510249 0.636951
2.05 0.302543 0.370879 0.453877
2.07 0.190386 0.234012 0.363043
2.09 0.129078 0.193647 0.255925
2.11 0.0888664 0.149272 0.199369
2.13 0.0528482 0.0692406 0.126015
2.15 0.0311289 0.0549124 0.0841625
2.17 0.017822 0.0461964 0.0852125
