# r  g_300K  g_600K  g_900K
0.01 0 0 0
0.03 0 0 0
0.05 0 0 0
0.07 0 0 0
0.09 0 0 0
0.11 0 0 0
0.13 0 0 0
0.15 0 0 0
0.17 0 0 0
0.19 0 0 0
0.21 0 0 0
0.23 0 0 0
0.25 0 0 0
0.27 0 0 0
0.29 0 0 0
0.31 0 0 0
0.33 0 0 0
0.35 0 0 0
0.37 0 0 0
0.39 0 0 0
0.41 0 0 0
0.43 0 0 0
0.45 0 0 0
0.47 0 0 0
0.49 0 0 0
0.51 0 0 0
0.53 0 0 0
0.55 0 0 0
0.57 0 0 0
0.59 0 0 0
0.61 0 0 0
0.63 0 0 0
0.65 0 0 0
0.67 0 0 0
0.69 0 0 0
0.71 0 0 0
0.73 0 0 0
0.75 0 0 0
0.77 0 0 0
0.79 0 0 0
0.81 0 0 0
0.83 0 0 0
0.85 0 0 0
0.87 0 0 0
0.89 0 0 0
0.91 0 0 0
0.93 0 0 0
0.95 0 0 0
0.97 0 0 0
0.99 0 0 0
1.01 0 0 0
1.03 0 0 0
1.05 0 0 0
1.07 0 0 0
1.09 0 0 0
1.11 0 0 0
1.13 0 0 0
1.15 0 0 0
1.17 0 0 0
1.19 0 0 0
1.21 0 0 0
1.23 0 0 0
1.25 0 0 0
1.27 0 0 0
1.29 0 0 0
1.31 0 0 0
1.33 0 0 0
1.35 0 0 0
1.37 0 0 0
1.39 0 0 0
1.41 0 0 0
1.43 0 0 0
1.45 0 0 0
1.47 0 0 0
1.49 0 0 0
1.51 0 0 0
1.53 0 0 0
1.55 0 0 0.0164533
1.57 0 0.0159932 0
1.59 0 0.0155555 0.0313601
1.61 0.0452425 0.0455795 0.137576
1.63 0.0588818 0.177626 0.522095
1.65 0.172295 0.95491 1.00401
1.67 1.10774 2.54185 3.14001
1.69 4.35388 5.8593 5.91051
1.71 10.5371 9.89816 9.28082
1.73 18.5126 14.8545 12.5892
1.75 20.7743 16.2144 14.233
1.77 17.6482 15.1333 13.1796
1.79 12.2886 12.4497 11.9199
1.81 7.6267 8.61826 9.325
1.83 4.07533 6.06824 6.78974
1.85 2.22781 3.77384 4.72364
1.87 1.34198 2.13995 3.55818
1.89 0.645793 1.34516 2.05285
1.91 0.246615 0.830633 1.30333
1.93 0.146921 0.422963 0.8836
1.95 0.0617021 0.269447 0.469095
1.97 0.0604054 0.142005 0.388012
1.99 0.0493661 0.0794936 0.209996
2.01 0.00968216 0.068311 0.0685988
2.03 0 0.038288 0.067269
2.05 0 0.0281372 0.0376234
2.07 0 0.0184004 0.0554309
2.09 0 0.0180084 0.0180987
2.11 0 0 0.00892893
2.13 0 0 0
2.15 0 0 0.0171985
2.17 0 0 0
2.19 0 0 0
